word,pos,synonym
กษัตริย์,n,ขัตติยะ|บดี|บดินทร์|บพิตร|นฤบดี|ภูวไนย|ภูมินทร์|นฤบาล|นฤเบศร์|นฤบดี|นฤบดินทร์|บพิตร|พระเจ้าอยู่หัว|พระเจ้าแผ่นดิน|ในหลวง|พ่ออยู่หัว|เหนือหัว|ภูบดี|นรินทร์|นเรนทร์|นโรดม|นราธิป|ธเรศ|จักรพรรดิ์|ราชัน|ราชา|ราชาธิราช|ราช|ราเชนทร์|อดิศรภูวนาถ|ภูมิบาล|ภูบาล|ภูธเรศ|ภูนาถ|ภูนายก|ภูเนตุ|ภูบดินทร์|ภูเบศ|ธราธิบดี|ธราธิป|ธรณีศวร|ธรณิศ|ธรนิศร|ธรณิศวร์|นริศ|ธรณินทร์|อธิราช|อธิป|จักรี
กิน,v,รับประทาน|เขมือบ|หม่ำ|ฉัน|เสวย|แดก|สวาปาม
สวยงาม,adj,ประไพ|อำไพ|วิลาวัณย์|วิไล|ไฉไล|ลาวัณย์|สวย|โสภา|โสภณ|งาม|พะงา|รุจิเรข|อันแถ้ง|อะเคื้อ|โกมล
เลิศ,adj,เจ๋ง|บวร|ประเสริฐ|ล้ำเลิศ|วิศิษฏ์|วิเศษ|ยอด|ยอดเยี่ยม
คน,n,มนุษย์|ชน|นิกร|นร|นรชาติ|นรา|นรากร|บุคคล|ผู้|มานพ
ตาย,v,สิ้นชีพ|เสีย|เสียชีวิต|อาสัญ|มรณะ|วายปราณ|ถึงแก่กรรม|สิ้นชีพตักษัย|สวรรคต|ดับจิต|บรรลัย
เพชร,n,มณิ|มณี|พัชร|พชระ|วิเชียร|วชิร|วชิระ|วัชระ
กาลพฤกษ์,n,ราชพฤกษ์|ไชยพฤกษ์|เปลือกขม|กัลปพฤกษ์
จั๋งไทย,n,จั๋งใต้
ขนุนปาน,n,ขนุนป่า
เด็ก,n,พาล|ทารก|ดรุณ|กุมาร|ศิศุ
นางฟ้า,n,เทพธิดา|เทวี|นางสวรรค์|รัมภา|อัจฉรา|อัปสร|สุรางคนา|นิรชรา
พ่อ,n,บิดา|ชนก|บิตุรงค์|บิดร|ปิตุ
แม่,n,มารดา|ชนนี|ชเนตตี|นนทลี|มาตุ
มกราคม,n,ม.ค.|มกรา
กุมภาพันธ์,n,ก.พ.|กุมภา
มีนาคม,n,มี.ค.|มีนา
